Уровень,Компонента,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
44 компоненты,"Обувь кожаная, текстильная и комбинированная",1.62,1.673,1.693,1.743,1.84,1.97,2.147,2.294,2.33,2.215,2.233,2.296,2.356,2.498,2.563,2.538,2.526,2.521,2.546,2.519,2.777,3.061,3.356,3.377,3.52
44 компоненты,Моющие и чистящие средства,0.793,0.834,0.895,0.785,0.792,0.849,0.825,0.834,0.858,0.828,0.76,0.759,0.76,0.796,0.794,0.82,0.738,0.679,0.674,0.743,0.733,0.784,0.866,0.935,1.058
44 компоненты,Парфюмерно-косметические товары,1.671,1.756,1.879,1.588,1.581,1.54,1.456,1.474,1.478,1.428,1.38,1.429,1.398,1.429,1.438,1.437,1.268,1.337,1.354,1.357,1.331,1.359,1.317,1.276,1.283
44 компоненты,Галантерея,0.869,0.899,0.927,0.845,0.888,0.943,0.922,0.978,0.982,0.937,0.903,0.947,0.932,0.93,0.939,0.915,0.848,0.846,0.797,0.793,0.779,0.79,0.846,0.676,0.433
44 компоненты,Табачные изделия,1.185,1.323,1.299,1.367,1.39,1.378,1.235,1.24,1.176,1.13,0.992,0.907,0.836,0.753,0.762,0.688,0.646,0.679,0.724,0.831,0.904,0.948,0.836,1.09,1.09
44 компоненты,Мебель,1.503,1.499,1.604,1.796,1.779,1.634,1.815,1.93,1.967,2.056,2.086,2.297,2.171,2.07,2.064,2.344,2.425,2.209,2.206,2.168,2.051,2.043,2.051,1.62,1.38
44 компоненты,Электротовары и другие бытовые приборы,1.226,1.134,1.247,1.281,1.252,1.181,1.314,1.38,1.461,1.607,1.644,1.532,1.535,1.607,1.621,1.764,1.94,1.988,2.07,2.178,2.153,2.096,1.687,1.615,1.573
44 компоненты,Печатные издания,0.157,0.169,0.188,0.195,0.191,0.207,0.237,0.26,0.287,0.298,0.317,0.369,0.414,0.442,0.466,0.48,0.446,0.472,0.491,0.501,0.504,0.535,0.532,0.542,0.575
44 компоненты,Телерадиотовары,0.169,0.194,0.257,0.311,0.44,0.374,0.398,0.426,0.503,0.636,0.68,0.663,0.725,0.78,0.85,0.952,1.001,1.01,1.195,1.149,1.072,1.075,1.199,1.264,1.366
44 компоненты,Персональные компьютеры,0.401,0.419,0.434,0.49,0.511,0.462,0.464,0.493,0.57,0.662,0.733,0.615,0.733,0.823,0.834,0.884,1.012,0.918,1.051,1.125,1.125,0.821,0.347,0.298,0.176
44 компоненты,Средства связи,0.902,0.912,0.868,0.877,0.724,0.605,0.541,0.527,0.508,0.496,0.509,0.604,0.389,0.414,0.501,0.529,0.627,0.73,0.802,0.871,0.537,0.345,0.164,0.139,0.139
